Datum,Tag,Feiertag
01.01.2024,Monday,Neujahr
02.01.2024,Tuesday,Berchtoldstag
03.01.2024,Wednesday,
04.01.2024,Thursday,
05.01.2024,Friday,
06.01.2024,Saturday,Heilige Drei Koenige
07.01.2024,Sunday,
08.01.2024,Monday,
09.01.2024,Tuesday,
10.01.2024,Wednesday,
11.01.2024,Thursday,
12.01.2024,Friday,
13.01.2024,Saturday,
14.01.2024,Sunday,
15.01.2024,Monday,
16.01.2024,Tuesday,
17.01.2024,Wednesday,
18.01.2024,Thursday,
19.01.2024,Friday,
20.01.2024,Saturday,
21.01.2024,Sunday,
22.01.2024,Monday,
23.01.2024,Tuesday,
24.01.2024,Wednesday,
25.01.2024,Thursday,
26.01.2024,Friday,
27.01.2024,Saturday,
28.01.2024,Sunday,
29.01.2024,Monday,
30.01.2024,Tuesday,
31.01.2024,Wednesday,
01.02.2024,Thursday,
02.02.2024,Friday,
03.02.2024,Saturday,
04.02.2024,Sunday,
05.02.2024,Monday,
06.02.2024,Tuesday,
07.02.2024,Wednesday,
08.02.2024,Thursday,
09.02.2024,Friday,
10.02.2024,Saturday,
11.02.2024,Sunday,
12.02.2024,Monday,
13.02.2024,Tuesday,
14.02.2024,Wednesday,
15.02.2024,Thursday,
16.02.2024,Friday,
17.02.2024,Saturday,
18.02.2024,Sunday,
19.02.2024,Monday,
20.02.2024,Tuesday,
21.02.2024,Wednesday,
22.02.2024,Thursday,
23.02.2024,Friday,
24.02.2024,Saturday,
25.02.2024,Sunday,
26.02.2024,Monday,
27.02.2024,Tuesday,
28.02.2024,Wednesday,
29.02.2024,Thursday,
01.03.2024,Friday,
02.03.2024,Saturday,
03.03.2024,Sunday,
04.03.2024,Monday,
05.03.2024,Tuesday,
06.03.2024,Wednesday,
07.03.2024,Thursday,
08.03.2024,Friday,
09.03.2024,Saturday,
10.03.2024,Sunday,
11.03.2024,Monday,
12.03.2024,Tuesday,
13.03.2024,Wednesday,
14.03.2024,Thursday,
15.03.2024,Friday,
16.03.2024,Saturday,
17.03.2024,Sunday,
18.03.2024,Monday,
19.03.2024,Tuesday,Josefstag
20.03.2024,Wednesday,
21.03.2024,Thursday,
22.03.2024,Friday,
23.03.2024,Saturday,
24.03.2024,Sunday,
25.03.2024,Monday,
26.03.2024,Tuesday,
27.03.2024,Wednesday,
28.03.2024,Thursday,
29.03.2024,Friday,Karfreitag
30.03.2024,Saturday,
31.03.2024,Sunday,
01.04.2024,Monday,Ostermontag
02.04.2024,Tuesday,
03.04.2024,Wednesday,
04.04.2024,Thursday,
05.04.2024,Friday,
06.04.2024,Saturday,
07.04.2024,Sunday,
08.04.2024,Monday,
09.04.2024,Tuesday,
10.04.2024,Wednesday,
11.04.2024,Thursday,
12.04.2024,Friday,
13.04.2024,Saturday,
14.04.2024,Sunday,
15.04.2024,Monday,
16.04.2024,Tuesday,
17.04.2024,Wednesday,
18.04.2024,Thursday,
19.04.2024,Friday,
20.04.2024,Saturday,
21.04.2024,Sunday,
22.04.2024,Monday,
23.04.2024,Tuesday,
24.04.2024,Wednesday,
25.04.2024,Thursday,
26.04.2024,Friday,
27.04.2024,Saturday,
28.04.2024,Sunday,
29.04.2024,Monday,
30.04.2024,Tuesday,
01.05.2024,Wednesday,Tag der Arbeit
02.05.2024,Thursday,
03.05.2024,Friday,
04.05.2024,Saturday,
05.05.2024,Sunday,
06.05.2024,Monday,
07.05.2024,Tuesday,
08.05.2024,Wednesday,
09.05.2024,Thursday,Auffahrt
10.05.2024,Friday,
11.05.2024,Saturday,
12.05.2024,Sunday,
13.05.2024,Monday,
14.05.2024,Tuesday,
15.05.2024,Wednesday,
16.05.2024,Thursday,
17.05.2024,Friday,
18.05.2024,Saturday,
19.05.2024,Sunday,
20.05.2024,Monday,Pfingstmontag
21.05.2024,Tuesday,
22.05.2024,Wednesday,
23.05.2024,Thursday,
24.05.2024,Friday,
25.05.2024,Saturday,
26.05.2024,Sunday,
27.05.2024,Monday,
28.05.2024,Tuesday,
29.05.2024,Wednesday,
30.05.2024,Thursday,Fronleichnam
31.05.2024,Friday,
01.06.2024,Saturday,
02.06.2024,Sunday,
03.06.2024,Monday,
04.06.2024,Tuesday,
05.06.2024,Wednesday,
06.06.2024,Thursday,
07.06.2024,Friday,
08.06.2024,Saturday,
09.06.2024,Sunday,
10.06.2024,Monday,
11.06.2024,Tuesday,
12.06.2024,Wednesday,
13.06.2024,Thursday,
14.06.2024,Friday,
15.06.2024,Saturday,
16.06.2024,Sunday,
17.06.2024,Monday,
18.06.2024,Tuesday,
19.06.2024,Wednesday,
20.06.2024,Thursday,
21.06.2024,Friday,
22.06.2024,Saturday,
23.06.2024,Sunday,
24.06.2024,Monday,
25.06.2024,Tuesday,
26.06.2024,Wednesday,
27.06.2024,Thursday,
28.06.2024,Friday,
29.06.2024,Saturday,
30.06.2024,Sunday,
01.07.2024,Monday,
02.07.2024,Tuesday,
03.07.2024,Wednesday,
04.07.2024,Thursday,
05.07.2024,Friday,
06.07.2024,Saturday,
07.07.2024,Sunday,
08.07.2024,Monday,
09.07.2024,Tuesday,
10.07.2024,Wednesday,
11.07.2024,Thursday,
12.07.2024,Friday,
13.07.2024,Saturday,
14.07.2024,Sunday,
15.07.2024,Monday,
16.07.2024,Tuesday,
17.07.2024,Wednesday,
18.07.2024,Thursday,
19.07.2024,Friday,
20.07.2024,Saturday,
21.07.2024,Sunday,
22.07.2024,Monday,
23.07.2024,Tuesday,
24.07.2024,Wednesday,
25.07.2024,Thursday,
26.07.2024,Friday,
27.07.2024,Saturday,
28.07.2024,Sunday,
29.07.2024,Monday,
30.07.2024,Tuesday,
31.07.2024,Wednesday,
01.08.2024,Thursday,Bundesfeier
02.08.2024,Friday,
03.08.2024,Saturday,
04.08.2024,Sunday,
05.08.2024,Monday,
06.08.2024,Tuesday,
07.08.2024,Wednesday,
08.08.2024,Thursday,
09.08.2024,Friday,
10.08.2024,Saturday,
11.08.2024,Sunday,
12.08.2024,Monday,
13.08.2024,Tuesday,
14.08.2024,Wednesday,
15.08.2024,Thursday,Maria Himmelfahrt
16.08.2024,Friday,
17.08.2024,Saturday,
18.08.2024,Sunday,
19.08.2024,Monday,
20.08.2024,Tuesday,
21.08.2024,Wednesday,
22.08.2024,Thursday,
23.08.2024,Friday,
24.08.2024,Saturday,
25.08.2024,Sunday,
26.08.2024,Monday,
27.08.2024,Tuesday,
28.08.2024,Wednesday,
29.08.2024,Thursday,
30.08.2024,Friday,
31.08.2024,Saturday,
01.09.2024,Sunday,
02.09.2024,Monday,
03.09.2024,Tuesday,
04.09.2024,Wednesday,
05.09.2024,Thursday,
06.09.2024,Friday,
07.09.2024,Saturday,
08.09.2024,Sunday,
09.09.2024,Monday,
10.09.2024,Tuesday,
11.09.2024,Wednesday,
12.09.2024,Thursday,
13.09.2024,Friday,
14.09.2024,Saturday,
15.09.2024,Sunday,
16.09.2024,Monday,
17.09.2024,Tuesday,
18.09.2024,Wednesday,
19.09.2024,Thursday,
20.09.2024,Friday,
21.09.2024,Saturday,
22.09.2024,Sunday,
23.09.2024,Monday,
24.09.2024,Tuesday,
25.09.2024,Wednesday,
26.09.2024,Thursday,
27.09.2024,Friday,
28.09.2024,Saturday,
29.09.2024,Sunday,
30.09.2024,Monday,
01.10.2024,Tuesday,
02.10.2024,Wednesday,
03.10.2024,Thursday,
04.10.2024,Friday,
05.10.2024,Saturday,
06.10.2024,Sunday,
07.10.2024,Monday,
08.10.2024,Tuesday,
09.10.2024,Wednesday,
10.10.2024,Thursday,
11.10.2024,Friday,
12.10.2024,Saturday,
13.10.2024,Sunday,
14.10.2024,Monday,
15.10.2024,Tuesday,
16.10.2024,Wednesday,
17.10.2024,Thursday,
18.10.2024,Friday,
19.10.2024,Saturday,
20.10.2024,Sunday,
21.10.2024,Monday,
22.10.2024,Tuesday,
23.10.2024,Wednesday,
24.10.2024,Thursday,
25.10.2024,Friday,
26.10.2024,Saturday,
27.10.2024,Sunday,
28.10.2024,Monday,
29.10.2024,Tuesday,
30.10.2024,Wednesday,
31.10.2024,Thursday,
01.11.2024,Friday,Allerheiligen
02.11.2024,Saturday,
03.11.2024,Sunday,
04.11.2024,Monday,
05.11.2024,Tuesday,
06.11.2024,Wednesday,
07.11.2024,Thursday,
08.11.2024,Friday,
09.11.2024,Saturday,
10.11.2024,Sunday,
11.11.2024,Monday,
12.11.2024,Tuesday,
13.11.2024,Wednesday,
14.11.2024,Thursday,
15.11.2024,Friday,
16.11.2024,Saturday,
17.11.2024,Sunday,
18.11.2024,Monday,
19.11.2024,Tuesday,
20.11.2024,Wednesday,
21.11.2024,Thursday,
22.11.2024,Friday,
23.11.2024,Saturday,
24.11.2024,Sunday,
25.11.2024,Monday,
26.11.2024,Tuesday,
27.11.2024,Wednesday,
28.11.2024,Thursday,
29.11.2024,Friday,
30.11.2024,Saturday,
01.12.2024,Sunday,
02.12.2024,Monday,
03.12.2024,Tuesday,
04.12.2024,Wednesday,
05.12.2024,Thursday,
06.12.2024,Friday,
07.12.2024,Saturday,
08.12.2024,Sunday,Maria Empfaengnis
09.12.2024,Monday,
10.12.2024,Tuesday,
11.12.2024,Wednesday,
12.12.2024,Thursday,
13.12.2024,Friday,
14.12.2024,Saturday,
15.12.2024,Sunday,
16.12.2024,Monday,
17.12.2024,Tuesday,
18.12.2024,Wednesday,
19.12.2024,Thursday,
20.12.2024,Friday,
21.12.2024,Saturday,
22.12.2024,Sunday,
23.12.2024,Monday,
24.12.2024,Tuesday,
25.12.2024,Wednesday,Weihnachtstag
26.12.2024,Thursday,Stephanstag
27.12.2024,Friday,
28.12.2024,Saturday,
29.12.2024,Sunday,
30.12.2024,Monday,
31.12.2024,Tuesday,
